Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling
JDMT,20170824,1445,26.98,-80.11,2,201708000000.0,8,14,Summer,55.98755,37.37144,12.84902,22,10.0,1012.1,18
Peterson,20180520,1030,38.82,-104.71,1879,201805000000.0,5,10,Spring,91.78467,11.05141,2.70993,10,2.0,816.2,5
JDMT,20180326,1145,26.98,-80.11,2,201803000000.0,3,11,Spring,43.76831,34.8336,29.28166,13,10.0,1021.6,32
USAFA,20180904,1400,38.95,-104.83,1947,201809000000.0,9,14,Fall,10.83984,48.95538,16.6807,15,10.0,801.2,722
Peterson,20180331,1400,38.82,-104.71,1879,201803000000.0,3,14,Spring,19.25659,21.2632,19.12083,23,10.0,811.1,722
Peterson,20170911,1500,38.82,-104.71,1879,201709000000.0,9,15,Fall,99.46289,17.51686,1.79499,11,10.0,817.9,150
Camp Murray,20180725,1300,47.11,-122.57,84,201807000000.0,7,13,Summer,7.95288,54.86443,20.03435,5,10.0,1009.6,722
JDMT,20180322,1500,26.98,-80.11,2,201803000000.0,3,15,Spring,20.91064,32.88239,25.50583,6,10.0,1020.6,722
USAFA,20180406,1115,38.95,-104.83,1947,201804000000.0,4,11,Spring,41.51611,10.37415,3.27322,21,10.0,796.7,15
March AFB,20180111,1130,33.9,-117.26,458,201801000000.0,1,11,Winter,83.54492,14.94377,6.01892,3,0.5,968.9,1
Offutt,20180816,1400,41.13,-95.75,380,201808000000.0,8,14,Summer,38.44604,36.81503,20.97693,0,10.0,977.7,37
Travis,20170615,1400,38.16,-121.56,1,201706000000.0,6,14,Summer,22.9126,39.30504,21.18289,9,10.0,1012.6,722
Travis,20180321,1345,38.16,-121.56,1,201803000000.0,3,13,Spring,84.74121,19.35982,2.81279,3,10.0,1007.5,8
Travis,20180415,1000,38.16,-121.56,1,201804000000.0,4,10,Spring,61.73096,16.82953,13.66556,23,10.0,1012.6,722
Hill Weber,20180323,1145,41.15,-111.99,1370,201803000000.0,3,11,Spring,95.34912,8.41286,6.75647,6,10.0,852.8,16
Malmstrom,20180729,1300,47.52,-111.18,1043,201807000000.0,7,13,Summer,23.90747,30.3672,21.5868,5,10.0,901.5,722
Hill Weber,20180517,1100,41.15,-111.99,1370,201805000000.0,5,11,Spring,35.12573,27.76894,21.05936,6,10.0,848.7,722
USAFA,20170814,1100,38.95,-104.83,1947,201708000000.0,8,11,Summer,26.97754,34.81094,15.32594,0,10.0,798.7,722
Travis,20180929,1300,38.16,-121.56,1,201809000000.0,9,13,Fall,42.68188,27.69592,2.50849,10,10.0,1009.2,722
JDMT,20170811,1100,26.98,-80.11,2,201708000000.0,8,11,Summer,46.51489,39.36798,15.51975,8,10.0,1018.6,65
Peterson,20170723,1400,38.82,-104.71,1879,201707000000.0,7,14,Summer,8.8562,45.12344,22.12642,9,10.0,816.2,240
March AFB,20180409,1500,33.9,-117.26,458,201804000000.0,4,15,Spring,1.86768,39.99237,16.80923,9,10.0,959.2,722
JDMT,20180518,1300,26.98,-80.11,2,201805000000.0,5,13,Spring,54.30298,36.08238,25.71219,13,10.0,1014.9,70
March AFB,20180925,1130,33.9,-117.26,458,201809000000.0,9,11,Fall,56.51855,26.39931,12.75885,0,6.0,959.8,722
Peterson,20180713,1300,38.82,-104.71,1879,201807000000.0,7,13,Summer,12.68921,45.21408,24.69189,15,10.0,817.9,722
Hill Weber,20180730,1000,41.15,-111.99,1370,201807000000.0,7,10,Summer,21.78955,31.58325,13.62709,18,10.0,858.7,722
Travis,20170721,1100,38.16,-121.56,1,201707000000.0,7,11,Summer,32.13501,31.67892,18.43864,10,10.0,1012.3,722
Peterson,20180201,1000,38.82,-104.71,1879,201802000000.0,2,10,Winter,61.77368,-1.8644,3.51939,14,10.0,813.7,22
Hill Weber,20171102,1000,41.15,-111.99,1370,201711000000.0,11,10,Fall,50.60425,14.85313,6.96571,13,10.0,849.0,722
Kahului,20180519,1300,20.89,-156.44,2,201805000000.0,5,13,Spring,52.86865,29.7126,25.47684,29,10.0,1016.1,722
Kahului,20171201,1345,20.89,-156.44,2,201712000000.0,12,13,Winter,84.17358,25.84541,9.99908,20,10.0,1013.4,45
Peterson,20180830,1100,38.82,-104.71,1879,201808000000.0,8,11,Summer,6.073,53.57788,15.68336,6,10.0,814.5,722
Grissom,20180911,1045,40.67,-86.15,239,201809000000.0,9,10,Fall,43.25562,34.16138,11.60156,0,10.0,993.1,722
Malmstrom,20171204,1500,47.52,-111.18,1043,201712000000.0,12,15,Winter,62.42676,0.66841,3.37727,11,10.0,900.0,722
Grissom,20180921,1200,40.67,-86.15,239,201809000000.0,9,12,Fall,86.48682,25.75729,4.00938,15,10.0,984.5,130
Travis,20180130,1400,38.16,-121.56,1,201801000000.0,1,14,Winter,54.77295,21.93794,12.53592,0,10.0,1017.3,722
MNANG,20180729,1500,44.89,-93.2,246,201807000000.0,7,15,Summer,30.79834,35.45296,3.17917,6,10.0,988.2,250
Hill Weber,20171218,1300,41.15,-111.99,1370,201712000000.0,12,13,Winter,50.03052,6.51703,5.45444,0,10.0,860.2,40
JDMT,20170826,1415,26.98,-80.11,2,201708000000.0,8,14,Summer,74.4812,32.21016,21.02141,16,10.0,1014.5,75
USAFA,20170915,1200,38.95,-104.83,1947,201709000000.0,9,12,Fall,13.92822,32.20512,16.00181,3,10.0,794.8,722
Travis,20180119,1500,38.16,-121.56,1,201801000000.0,1,15,Winter,58.72803,15.49263,0.66861,13,10.0,1015.3,50
USAFA,20170712,1400,38.95,-104.83,1947,201707000000.0,7,14,Summer,19.73267,40.68474,7.81591,15,10.0,803.7,130
USAFA,20180225,1545,38.95,-104.83,1947,201802000000.0,2,15,Winter,5.88379,22.58499,7.39157,15,10.0,792.8,722
Peterson,20170728,1300,38.82,-104.71,1879,201707000000.0,7,13,Summer,31.61621,36.13022,1.5109,9,10.0,815.3,150
MNANG,20171224,1345,44.89,-93.2,246,201712000000.0,12,13,Winter,50.59204,3.21884,1.19646,10,10.0,987.6,23
Travis,20171001,1300,38.16,-121.56,1,201710000000.0,10,13,Fall,10.16846,30.31433,17.92394,15,10.0,1009.6,722
Camp Murray,20180710,1300,47.11,-122.57,84,201807000000.0,7,13,Summer,25.02441,37.37648,27.69867,5,10.0,1014.3,40
USAFA,20180727,1430,38.95,-104.83,1947,201807000000.0,7,14,Summer,92.67578,27.09167,5.59418,11,9.1,804.0,50
Travis,20180207,1300,38.16,-121.56,1,201802000000.0,2,13,Winter,46.50879,23.937,11.89704,10,10.0,1022.4,722
March AFB,20171027,1500,33.9,-117.26,458,201710000000.0,10,15,Fall,10.82153,36.14029,9.83295,9,10.0,957.2,722
Grissom,20180726,1500,40.67,-86.15,239,201807000000.0,7,15,Summer,44.58008,36.80244,15.51733,14,10.0,984.2,55
Peterson,20170731,1445,38.82,-104.71,1879,201707000000.0,7,14,Summer,42.0166,28.46886,6.49393,10,10.0,819.3,110
JDMT,20171004,1545,26.98,-80.11,2,201710000000.0,10,15,Fall,72.02759,28.99254,6.6069,18,10.0,1015.2,40
USAFA,20180109,1000,38.95,-104.83,1947,201801000000.0,1,10,Winter,50.81177,8.4053,3.87155,5,10.0,795.0,722
USAFA,20180914,1500,38.95,-104.83,1947,201809000000.0,9,15,Fall,4.6814,59.95018,13.70693,14,10.0,801.2,722
USAFA,20180401,1500,38.95,-104.83,1947,201804000000.0,4,15,Spring,11.81641,29.71764,13.76455,11,10.0,794.5,722
Travis,20180114,1200,38.16,-121.56,1,201801000000.0,1,12,Winter,80.06592,14.19853,1.1612,8,10.0,1021.1,10
Travis,20171102,1200,38.16,-121.56,1,201711000000.0,11,12,Fall,46.21582,22.59254,6.99955,9,10.0,1014.0,60
